SSPs   Mgb  e_Mgb   Fe5270  e_Fe5270   Fe5335  e_Fe5335
m42ssp200.spec     3.02   0.24     2.43   0.19     2.24   0.11
m42ssp205.spec     3.05   0.21     2.37   0.19     2.24   0.11
m42ssp210.spec     3.02   0.23     2.38   0.19     2.24   0.10
m42ssp215.spec     3.01   0.21     2.37   0.23     2.25   0.10
m42ssp220.spec     2.96   0.23     2.42   0.20     2.25   0.10
m52ssp005.spec     0.00   0.00     0.00   0.00     0.00   0.01
m52ssp010.spec     0.00   0.00     0.00   0.00     0.00   0.01
m52ssp015.spec     0.00   0.00     0.00   0.00     0.00   0.01
m52ssp020.spec     0.00   0.00     0.00   0.00     0.00   0.02
m52ssp025.spec     0.00   0.00     0.00   0.00     0.00   0.01
m52ssp030.spec     0.00   0.00     0.00   0.00     0.00   0.01
m52ssp035.spec     0.00   0.00     0.00   0.00     0.00   0.00
m52ssp040.spec     0.00   0.00     0.00   0.00     0.00   0.00
m52ssp045.spec     0.00   0.00     0.00   0.01     0.00   0.00
m52ssp050.spec     0.02   0.02     0.09   0.03     0.08   0.03
m52ssp055.spec     0.03   0.02     0.23   0.03     0.17   0.02
m52ssp060.spec     0.59   0.10     1.21   0.14     1.10   0.14
m52ssp065.spec     0.61   0.10     1.11   0.15     1.09   0.12
m52ssp070.spec     0.45   0.07     0.72   0.09     0.85   0.05
m52ssp075.spec     0.43   0.06     0.64   0.07     0.80   0.05
m52ssp080.spec     0.43   0.05     0.61   0.08     0.85   0.06
m52ssp085.spec     0.57   0.06     0.73   0.10     1.03   0.07
m52ssp090.spec     0.61   0.07     0.75   0.10     1.08   0.08
m52ssp095.spec     0.65   0.07     0.80   0.10     1.12   0.08
m52ssp100.spec     0.61   0.06     0.76   0.10     1.06   0.08
m52ssp105.spec     0.63   0.06     0.74   0.09     1.03   0.07
m52ssp110.spec     0.55   0.05     0.67   0.10     0.89   0.08
m52ssp115.spec     0.58   0.05     0.73   0.10     0.82   0.08
m52ssp120.spec     0.71   0.06     0.75   0.10     0.83   0.07
m52ssp125.spec     0.99   0.09     1.04   0.12     1.06   0.08
m52ssp130.spec     1.05   0.10     1.39   0.14     1.31   0.13
